시도,구군,행정구역명,하수처리장명,하수처리 시설용량,처리구역면적_합,처리구역면적_합류식,처리구역면적_분류식,분류식화율,배수설비_합계(개소),배수설비_합류식(개소),배수설비_분류식합계(개소),배수설비_분류식연결(개소),배수설비_분류식미연결(개소),하수관로_총시설연장,하수관로_차집_오수간선합계,하수관로_차집,하수관로_오수간선,하수관로_합류식우수토실(개소),하수관로_분류식우수토실(개소),하수관로_분류식우수토구(개소),하수관로_지선합계,하수관로_지선합류식,하수관로_지선분류식우수,하수관로_지선분류식오수
인천광역시,남동구,남동구,승기,275000,18.1,4.5,13.6,75.1,0,0,0,0,0,454987.09,16339,16339,0,6,7,68,438648.09,82659,188276,167713.09
인천광역시,남동구,남동구,가좌,350000,2.1,2.1,0,0,0,0,0,0,0,93705.38,3654,3654,0,0,0,0,90051.38,86230,0,3821.38
인천광역시,남동구,남동구,만수,70000,7.1,1.7,5.4,76.1,0,0,0,0,0,404387.53,5658,5658,0,2,7,25,398729.53,142361,179839,76529.53
인천광역시,부평구,부평구,굴포,900000,29.21,29.21,0,0,0,0,0,0,0,489171,451731,429587,22144,77,0,0,37440,0,22985,14455
인천광역시,부평구,부평구,가좌,350000,2.87,2.87,0,0,0,0,0,0,0,79157,79157,79157,0,0,0,0,0,0,0,0
인천광역시,계양구,계양구,굴포,900000,13.478,8.642,4.836,35.9,0,0,0,0,0,297497,5433.06,5433.06,0,2,0,0,292063.94,197296,60985.94,33782
인천광역시,서구,서구,공촌,65000,24.6,0,24.6,100,0,0,0,0,0,571440,0,0,0,1,0,0,571440,236355,70420,264665
인천광역시,서구,서구,검단 증설,46000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시,서구,서구,검단,40000,10.7,0,10.7,100,0,0,0,0,0,294572.49,0,0,0,0,0,0,294572.49,43114,73580.27,177878.22
인천광역시,서구,서구,가좌,350000,47.5,32.7,14.8,31.2,0,0,0,0,0,532952.56,0,0,0,25,0,0,532952.56,116475.78,416476.78,0
인천광역시,강화군,강화군,온수,700,0.922,0,0.922,100,461,0,461,461,0,14577,14577,0,14577,0,0,0,0,0,0,0
인천광역시,강화군,강화군,교동,120,0.598,0,0.598,100,292,0,292,292,0,7379,7379,0,7379,0,0,0,0,0,0,0
인천광역시,강화군,강화군,동막,240,0.094,0,0.094,100,59,0,59,59,0,1476,1476,0,1476,0,0,0,0,0,0,0
인천광역시,강화군,강화군,강화,9000,3.6,0,3.6,100,5157,0,5157,5057,100,154648,18392,8623,9769,2,0,0,136256,41219,48603,46434
인천광역시,옹진군,옹진군,진두,2000,1.889,0,1.889,100,991,0,991,991,0,40085,39477,16263,23214,0,0,0,608,0,608,0
인천광역시,옹진군,옹진군,진촌,560,0.372,0.372,0,0,144,144,0,0,0,13316,13316,13316,0,1,0,0,0,0,0,0
인천광역시,옹진군,옹진군,서포1,300,0.541,0,0.541,100,60,0,60,60,0,1942,1942,0,1942,0,0,0,0,0,0,0
인천광역시,옹진군,옹진군,자월1,130,0.281,0,0.281,100,0,0,0,0,0,3603,3603,0,3603,0,0,0,0,0,0,0
인천광역시,옹진군,옹진군,장봉3,110,0.151,0,0.151,100,67,0,67,67,0,537,537,0,537,0,0,0,0,0,0,0
인천광역시,옹진군,옹진군,소청,80,0.082,0,0.082,100,0,0,0,0,0,1052,1052,0,1052,0,0,0,0,0,0,0
인천광역시,옹진군,옹진군,사탄1,50,0.026,0,0.026,100,0,0,0,0,0,1583,1583,0,1583,0,0,0,0,0,0,0
인천광역시,옹진군,옹진군,가을,750,0.612,0,0.612,100,479,0,479,479,0,18500,18500,0,18500,0,0,0,0,0,0,0
인천광역시,옹진군,옹진군,선진1,130,0.298,0,0.298,100,0,0,0,0,0,2560,2560,0,2560,0,0,0,0,0,0,0
인천광역시,옹진군,옹진군,대연평,300,0.309,0,0.309,100,0,0,0,0,0,2896,2896,0,2896,0,0,0,0,0,0,0
인천광역시,옹진군,옹진군,선재,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
광주광역시,동구,동구,광주 제1,600000,9.48,7.87,1.61,17,988,0,988,988,0,362714.38,13417,13417,0,102,0,0,349297.38,265191.82,33354,50751.56
광주광역시,서구,서구,용두,40,0.3,0,0.3,100,53,0,53,53,0,4750,0,0,0,0,0,0,4750,0,0,4750
광주광역시,서구,서구,광주 제1,600000,23.777,14.87,8.907,37.5,83264,46510,36754,36754,0,818867.54,35805,35805,0,50,0,90,783062.54,299407.6,228635.89,255019.05
광주광역시,서구,서구,신용,45,0.063,0,0.063,100,79,0,79,79,0,2240,0,0,0,0,0,0,2240,0,0,2240
광주광역시,남구,남구,양과복수지구,130,0.42,0,0.42,100,225,0,225,225,0,30000,0,0,0,0,0,0,30000,0,10000,20000
광주광역시,남구,남구,승촌지구,160,0.15,0,0.15,100,231,0,231,231,0,24000,0,0,0,0,0,0,24000,0,8000,16000
광주광역시,남구,남구,지석삼정지구,430,0.6,0,0.6,100,240,0,240,240,0,30000,0,0,0,0,0,0,30000,0,10000,20000
광주광역시,남구,남구,칠석도금지구,120,0.17,0,0.17,100,211,0,211,211,0,6000,0,0,0,0,0,0,6000,0,2000,4000
광주광역시,남구,남구,효천,16000,13.46,10.46,3,22.3,1188,475,713,713,0,389029,8710,8710,0,68,0,23,380319,226278,68438,85603
광주광역시,북구,북구,화암,60,0.2,0,0.2,100,60,0,60,60,0,2820,0,0,0,0,0,0,2820,0,0,2820
광주광역시,북구,북구,충효,80,0.08,0,0.08,100,307,0,307,307,0,3310,0,0,0,0,0,0,3310,0,0,3310
광주광역시,북구,북구,주룡,110,0.06,0,0.06,100,253,0,253,253,0,1050,0,0,0,0,0,0,1050,0,0,1050
광주광역시,북구,북구,금곡,80,0.1,0,0.1,100,181,0,181,181,0,3200,0,0,0,0,0,0,3200,0,0,3200
광주광역시,북구,북구,청풍동,100,0.15,0,0.15,100,354,0,354,354,0,7282,0,0,0,0,0,0,7282,0,0,7282
광주광역시,북구,북구,금곡동배제금정마을,60,0.07,0,0.07,100,100,0,100,100,0,2007,0,0,0,0,0,0,2007,0,0,2007
광주광역시,북구,북구,광주 제1,600000,39.25,14.04,25.21,64.2,1299,0,1299,1299,0,1284755.1,19936,19936,0,29,0,62,1264819.1,463598.5,369172,432048.6
광주광역시,북구,북구,망월동,260,0.48,0,0.48,100,1305,0,1305,1305,0,10793,0,0,0,0,0,0,10793,0,0,10793
광주광역시,광산구,광산구,원임곡,140,0.51,0,0.51,100,268,0,268,268,0,6071,0,0,0,0,0,0,6071,0,0,6071
광주광역시,광산구,광산구,석계,80,0.28,0,0.28,100,180,0,180,180,0,5047,0,0,0,0,0,0,5047,0,0,5047
광주광역시,광산구,광산구,용곡,80,0.14,0,0.14,100,159,0,159,159,0,3210,0,0,0,0,0,0,3210,0,0,3210
광주광역시,광산구,광산구,분토지구,50,0.08,0,0.08,100,87,0,87,87,0,2335,0,0,0,0,0,0,2335,0,0,2335
